reference_no,reference_text_joined,source_lines_as_printed,project_text_before_last_location_suffix,last_location_suffix_as_printed,location_split_method,reference_scope,source_pdf_page,source_printed_page,source_column,catalog_text_color,verification_status,verification_note
63,EPC FOR THE PROVISION AND INSTALLATION OF NEW BYPASS SYSTEM AT MP-21 AND REMOVAL OF REDUNDANT LINES AT OLD MP-21-ABU DHABI / UAE,EPC FOR THE PROVISION AND INSTALLATION OF NEW BYPASS SYSTEM AT || MP-21 AND REMOVAL OF REDUNDANT LINES AT OLD MP-21-ABU DHABI / || UAE,EPC FOR THE PROVISION AND INSTALLATION OF NEW BYPASS SYSTEM AT MP-21 AND REMOVAL OF REDUNDANT LINES AT OLD MP-21-ABU DHABI,UAE,last slash suffix only; not externally verified,international_project_references,132,130,single,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
64,EPC OF FLOWLINE & WELLHEAD PKG - ABU DHABI / UAE,EPC OF FLOWLINE & WELLHEAD PKG - ABU DHABI / UAE,EPC OF FLOWLINE & WELLHEAD PKG - ABU DHABI,UAE,last slash suffix only; not externally verified,international_project_references,132,130,single,blue,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
65,EPCC OF THE NEW WATER TREATING FACILITIES (BROWNFIELD & GREENFIELD) / KAZAKHSTAN,EPCC OF THE NEW WATER TREATING FACILITIES (BROWNFIELD & GREENFI- || ELD) / KAZAKHSTAN,EPCC OF THE NEW WATER TREATING FACILITIES (BROWNFIELD & GREENFIELD),KAZAKHSTAN,last slash suffix only; not externally verified,international_project_references,132,130,single,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
66,EPIC FOR AUTOMATION UPGRADE FOR NGL STORAGE AND LOADING FACILITIES - MESAIEED / QATAR,EPIC FOR AUTOMATION UPGRADE FOR NGL STORAGE AND LOADING FACILITI- || ES - MESAIEED / QATAR,EPIC FOR AUTOMATION UPGRADE FOR NGL STORAGE AND LOADING FACILITIES - MESAIEED,QATAR,last slash suffix only; not externally verified,international_project_references,132,130,single,blue,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
67,ESENBOGA AIRPORT - ANKARA / TURKIYE,ESENBOGA AIRPORT - ANKARA / TURKIYE,ESENBOGA AIRPORT - ANKARA,TURKIYE,last slash suffix only; not externally verified,international_project_references,132,130,single,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
68,EXECUTION OF A SEPARATION AND COMPRESSION CENTRE (CSC) AT THE PERIPHERY SOUTH HGA - HASSI MESSAOUD / ALGERIA,EXECUTION OF A SEPARATION AND COMPRESSION CENTRE (CSC) AT THE || PERIPHERY SOUTH HGA - HASSI MESSAOUD / ALGERIA,EXECUTION OF A SEPARATION AND COMPRESSION CENTRE (CSC) AT THE PERIPHERY SOUTH HGA - HASSI MESSAOUD,ALGERIA,last slash suffix only; not externally verified,international_project_references,132,130,single,blue,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
69,EXPANSION OF BAB GAS COMPRESSION PROJECT -EBGCP (PHASE-2) ABU DHABI / UAE,EXPANSION OF BAB GAS COMPRESSION PROJECT -EBGCP (PHASE-2) - || ABU DHABI / UAE,EXPANSION OF BAB GAS COMPRESSION PROJECT -EBGCP (PHASE-2) ABU DHABI,UAE,last slash suffix only; not externally verified,international_project_references,132,130,single,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
70,"G+2P+H.C+20 COMMERCIAL, OFFICE BLDG / UAE","G+2P+H.C+20 COMMERCIAL, OFFICE BLDG / UAE","G+2P+H.C+20 COMMERCIAL, OFFICE BLDG",UAE,last slash suffix only; not externally verified,international_project_references,132,130,single,blue,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
71,GARY PLAYER GOLF COURSE BUILDING / UAE,GARY PLAYER GOLF COURSE BUILDING / UAE,GARY PLAYER GOLF COURSE BUILDING,UAE,last slash suffix only; not externally verified,international_project_references,132,130,single,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
72,GASTECH INTERNATIONAL FZCO. PJ/9113 / IRAN,GASTECH INTERNATIONAL FZCO. PJ/9113 / IRAN,GASTECH INTERNATIONAL FZCO. PJ/9113,IRAN,last slash suffix only; not externally verified,international_project_references,132,130,single,blue,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
73,GHAZEER PROJECT - KHAZAAN CENTRAL PROCESSING FACILITY / OMAN,GHAZEER PROJECT - KHAZAAN CENTRAL PROCESSING FACILITY / OMAN,GHAZEER PROJECT - KHAZAAN CENTRAL PROCESSING FACILITY,OMAN,last slash suffix only; not externally verified,international_project_references,132,130,single,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
74,"GOLF GROVE DUBAI HILLS ESTATE, DUBAI - 166 VILLAS - DUBAI / UAE","GOLF GROVE DUBAI HILLS ESTATE, DUBAI - 166 VILLAS - DUBAI / UAE","GOLF GROVE DUBAI HILLS ESTATE, DUBAI - 166 VILLAS - DUBAI",UAE,last slash suffix only; not externally verified,international_project_references,132,130,single,blue,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
75,GOLF PLACE II MBR DUBAI ESTATE DEVELOPMENT - DUBAI / UAE,GOLF PLACE II MBR DUBAI ESTATE DEVELOPMENT - DUBAI / UAE,GOLF PLACE II MBR DUBAI ESTATE DEVELOPMENT - DUBAI,UAE,last slash suffix only; not externally verified,international_project_references,132,130,single,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
76,"GTC/371A/2010 -QATAR POWER TRANSMISSION SYSTEM EXPANSION - PHASE X SUBSTATION, PACKAGE S1,S2 &S6 / QATAR","GTC/371A/2010 -QATAR POWER TRANSMISSION SYSTEM EXPANSION - PHA- || SE X SUBSTATION, PACKAGE S1,S2 &S6 / QATAR","GTC/371A/2010 -QATAR POWER TRANSMISSION SYSTEM EXPANSION - PHASE X SUBSTATION, PACKAGE S1,S2 &S6",QATAR,last slash suffix only; not externally verified,international_project_references,132,130,single,blue,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
77,GTC-371/2010 (KAHRAMAA PHASE-10) / QATAR,GTC-371/2010 (KAHRAMAA PHASE-10) / QATAR,GTC-371/2010 (KAHRAMAA PHASE-10),QATAR,last slash suffix only; not externally verified,international_project_references,132,130,single,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
78,HALIBA OIL FIELD DEVELOPMENT PROJECT - ABU DHABI / UAE,HALIBA OIL FIELD DEVELOPMENT PROJECT - ABU DHABI / UAE,HALIBA OIL FIELD DEVELOPMENT PROJECT - ABU DHABI,UAE,last slash suffix only; not externally verified,international_project_references,132,130,single,blue,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
79,HASDARBUL PROJECT ONSHORE TERMINAL / TUNISIA,HASDARBUL PROJECT ONSHORE TERMINAL / TUNISIA,HASDARBUL PROJECT ONSHORE TERMINAL,TUNISIA,last slash suffix only; not externally verified,international_project_references,133,131,single,blue,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
80,HAWLER 2 / IRAQ,HAWLER 2 / IRAQ,HAWLER 2,IRAQ,last slash suffix only; not externally verified,international_project_references,133,131,single,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
81,HAYA WATER / UAE,HAYA WATER / UAE,HAYA WATER,UAE,last slash suffix only; not externally verified,international_project_references,133,131,single,blue,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
82,HIGLEIG PETROLEUM SERVICES & INVESTMENT PROJECTS / SUDAN,HIGLEIG PETROLEUM SERVICES & INVESTMENT PROJECTS / SUDAN,HIGLEIG PETROLEUM SERVICES & INVESTMENT PROJECTS,SUDAN,last slash suffix only; not externally verified,international_project_references,133,131,single,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
83,HOLLANDSE KUST ALPHA & BETA PLATFORM,HOLLANDSE KUST ALPHA & BETA PLATFORM,HOLLANDSE KUST ALPHA & BETA PLATFORM,,no slash suffix,international_project_references,133,131,single,blue,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
84,IN SALAH GAS COMPRESSION PROJECT / ALGERIA,IN SALAH GAS COMPRESSION PROJECT / ALGERIA,IN SALAH GAS COMPRESSION PROJECT,ALGERIA,last slash suffix only; not externally verified,international_project_references,133,131,single,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
85,INSTALLATION OF FG AND GAS OIL PIPELINES FROM MAA TO AZZOUR AND SHUAIBA POWER STATIONS FOR KOC / KUWAIT,INSTALLATION OF FG AND GAS OIL PIPELINES FROM MAA TO AZZOUR AND SHUAI- || BA POWER STATIONS FOR KOC / KUWAIT,INSTALLATION OF FG AND GAS OIL PIPELINES FROM MAA TO AZZOUR AND SHUAIBA POWER STATIONS FOR KOC,KUWAIT,last slash suffix only; not externally verified,international_project_references,133,131,single,blue,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
86,"INSTALLATION OF NEW COMPRESSORS AT GC -7, 8 & 21 / KUWAIT","INSTALLATION OF NEW COMPRESSORS AT GC -7, 8 & 21 / KUWAIT","INSTALLATION OF NEW COMPRESSORS AT GC -7, 8 & 21",KUWAIT,last slash suffix only; not externally verified,international_project_references,133,131,single,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
87,INVESTMENT RESIDENCES & JEBEL ALI HORSE RACE COURSE - DUBAI / UAE,INVESTMENT RESIDENCES & JEBEL ALI HORSE RACE COURSE - DUBAI / UAE,INVESTMENT RESIDENCES & JEBEL ALI HORSE RACE COURSE - DUBAI,UAE,last slash suffix only; not externally verified,international_project_references,133,131,single,blue,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
88,"KAHRAMAA PHASE-X : DIF, UMM AL GHABAB, SHERATON PARK, AL KHISSA WEST, PSS-3 AND ABU SIDRA / QATAR","KAHRAMAA PHASE-X : DIF, UMM AL GHABAB, SHERATON PARK, AL KHISSA WEST, || PSS-3 AND ABU SIDRA / QATAR","KAHRAMAA PHASE-X : DIF, UMM AL GHABAB, SHERATON PARK, AL KHISSA WEST, PSS-3 AND ABU SIDRA",QATAR,last slash suffix only; not externally verified,international_project_references,133,131,single,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
89,KAHRAMAA PHASE-X1 AW GTC-679 PROJECT / QATAR,KAHRAMAA PHASE-X1 AW GTC-679 PROJECT / QATAR,KAHRAMAA PHASE-X1 AW GTC-679 PROJECT,QATAR,last slash suffix only; not externally verified,international_project_references,133,131,single,blue,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
90,KAHRAMAA PHASE-X11 GTC-63A PROJECT / QATAR,KAHRAMAA PHASE-X11 GTC-63A PROJECT / QATAR,KAHRAMAA PHASE-X11 GTC-63A PROJECT,QATAR,last slash suffix only; not externally verified,international_project_references,133,131,single,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
91,KALBA FILLING STATION / UAE,KALBA FILLING STATION / UAE,KALBA FILLING STATION,UAE,last slash suffix only; not externally verified,international_project_references,133,131,single,blue,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
